name,mp,pp,unweighted_claim_mistakes_per_claim,unweighted_lead_mistakes_per_lead,unweighted_mistakes_as_declarer,unweighted_mistakes_as_defender,unweighted_defender_missed_current_double,unweighted_defender_erroneously_doubled,unweighted_defender_missed_higher_contract,unweighted_declarer_missed_higher_contract,unweighted_declarer_missed_doubling_opponents_last_bid,unweighted_declarer_missed_opponents_last_redouble,unweighted_declarer_missed_redoubling_opponents_erroneous_double,unweighted_declarer_missed_opponents_last_bid,unweighted_declarer_erroneous_redouble,unweighted_passed_higher_contract
Desislava Popova,20.0,0.0,0.005681818181818182,0.09259259259259259,0.035919540229885055,0.021798365122615803,0.14018691588785046,0.0,0.06542056074766354,0.17757009345794392,0.0794392523364486,0.0,0.037383177570093455,0.0,0.0,0.0
Al Simpson,8.0,0.5,0.0,0.0,0.030303030303030304,0.0125,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0
Luis Torres,0.0,0.0,0.021739130434782608,0.09090909090909091,0.033444816053511704,0.022935779816513763,0.13333333333333333,0.0,0.02666666666666667,0.25333333333333335,0.05333333333333334,0.0,0.02666666666666667,0.013333333333333334,0.0,0.0
Andrzej Knap,365.0,2.0,0.02406417112299465,0.1308411214953271,0.037341299477221805,0.02379333786539769,0.14948453608247422,0.0,0.08505154639175258,0.21391752577319587,0.05670103092783505,0.0,0.020618556701030927,0.005154639175257732,0.0,0.002577319587628866
Arturo Wasik,365.0,2.0,0.026378896882494004,0.23931623931623933,0.041383989145183174,0.025175644028103045,0.14482758620689656,0.0,0.07816091954022988,0.21839080459770116,0.05517241379310345,0.0,0.013793103448275862,0.009195402298850575,0.0,0.004597701149425287
Chuan Cheng Ju,954.0,2.0,0.013888888888888888,0.19736842105263158,0.031569173630454965,0.016814159292035398,0.13782051282051283,0.003205128205128205,0.08974358974358974,0.17307692307692307,0.10576923076923077,0.003205128205128205,0.022435897435897436,0.022435897435897436,0.0,0.003205128205128205
Zhong Fu,402.0,9.5,0.02608695652173913,0.16494845360824742,0.04013840830449827,0.02318840579710145,0.16129032258064516,0.002688172043010753,0.08870967741935484,0.20161290322580644,0.08602150537634409,0.0,0.013440860215053764,0.010752688172043012,0.0,0.002688172043010753
Jeff Sapire,9.0,0.5,0.0,1.0,0.0234375,0.021739130434782608,0.0,0.0,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.0,0.0,0.0,0.0,0.0
Weimin Wang,125.0,2.0,0.0,0.3076923076923077,0.03571428571428571,0.02112676056338028,0.10526315789473684,0.0,0.02631578947368421,0.23684210526315788,0.13157894736842105,0.0,0.02631578947368421,0.0,0.0,0.0
Joao Reis,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.10526315789473684,0.3684210526315789,0.10526315789473684,0.0,0.0,0.0,0.0,0.0
